Token;True_label;Predicted_label
Вечером;ablt;n/a
журналы;nomn;nomn
телевизор;accs;accs
Ночью;ablt;n/a
утром;ablt;n/a
гитаре;loct;loct
Студент;nomn;nomn
экзамене;loct;loct
студент;nomn;nomn
Подруги;nomn;gent
книге;loct;loct
подруги;nomn;gent
блогеры;nomn;nomn
слово;nomn;nomn
блогер;nomn;nomn
блогер;nomn;nomn
профессия;nomn;nomn
Блогеры;nomn;nomn
офисе;loct;loct
кафе;loct;loct
пляже;loct;loct
блогеры;nomn;nomn
Блогеры;nomn;nomn
статьи;nomn;gent
Интернете;loct;loct
ролики;accs;accs
спорте;loct;loct
погоде;loct;loct
работе;loct;loct
еде;loct;loct
литературе;loct;loct
музыке;loct;loct
одежде;loct;loct
бизнесе;loct;loct
Привет;nomn;nomn
бариста;gent;gent
студент;nomn;nomn
бариста;gent;gent
днём;ablt;ablt
студент;nomn;nomn
вечером;ablt;n/a
днём;ablt;ablt
университете;loct;loct
вечером;ablt;n/a
день;accs;accs
утром;ablt;n/a
кофе;gent;gent
новости;nomn;nomn
кафе;loct;loct
кофе;gent;gent
Эспрессо;nomn;nomn
кофе;gent;gent
кофе;accs;gent
Менеджеры;nomn;nomn
журналисты;nomn;nomn
преподаватели;nomn;nomn
врачи;nomn;nomn
программисты;nomn;nomn
кофе;accs;gent
утром;ablt;n/a
кофе;accs;gent
Днём;ablt;ablt
перерыв;nomn;nomn
обед;accs;accs
салат;nomn;nomn
рыбу;accs;accs
макароны;nomn;nomn
борщ;accs;accs
пельмени;accs;accs
журнал;nomn;nomn
книгу;accs;accs
задание;nomn;nomn
язык;accs;accs
Вечером;ablt;n/a
университете;loct;loct
биологию;accs;accs
природу;accs;accs
Цвет;nomn;nomn
человеке;loct;loct
характере;loct;loct
цвет;nomn;nomn
человек;nomn;nomn
оптимист;nomn;nomn
жизнь;accs;accs
цвет;nomn;nomn
человек;nomn;nomn
квартира;nomn;nomn
одежда;nomn;nomn
человек;nomn;nomn
баланс;nomn;nomn
гармонию;accs;accs
музыку;accs;accs
поэзию;accs;accs
цвет;nomn;nomn
человек;nomn;nomn
оптимист;nomn;nomn
театр;nomn;nomn
балет;nomn;nomn
цвет;nomn;nomn
работа;nomn;nomn
фильмы;nomn;nomn
цвет;nomn;nomn
человек;nomn;nomn
технику;accs;accs
гаджеты;nomn;nomn
цвет;nomn;nomn
человек;nomn;nomn
конфликты;nomn;nomn
риск;nomn;nomn
опера;nomn;nomn
музыка;nomn;nomn
цвет;nomn;nomn
человек;nomn;nomn
музыку;accs;accs
искусство;nomn;nomn
цвет;nomn;nomn
человек;nomn;nomn
карьеру;accs;accs
лидер;nomn;nomn
цвет;nomn;nomn
человек;nomn;nomn
комфорт;nomn;nomn
литературу;accs;accs
кино;accs;gent
брат;nomn;nomn
город;nomn;nomn
город;nomn;nomn
мире;loct;loct
музеи;accs;accs
театры;nomn;nomn
город;nomn;nomn
город;nomn;nomn
Пскове;loct;loct
Привет;nomn;nomn
Привет;nomn;nomn
дела;gent;gent
вечером;ablt;n/a
кино;accs;gent
фильм;nomn;nomn
погода;nomn;nomn
Дождь;nomn;nomn
пятницу;accs;accs
пятницу;accs;accs
вечером;ablt;n/a
театр;accs;nomn
выходные;accs;accs
субботу;accs;accs
выставку;accs;accs
воскресенье;accs;nomn
зоопарк;accs;nomn
понедельник;accs;accs
Понедельник;accs;accs
день;accs;accs
кино;accs;gent
вторник;accs;accs
еду;accs;accs
кино;accs;gent
вечером;ablt;n/a
выставку;accs;accs
библиотеке;loct;loct
выходные;accs;accs
пятницу;accs;accs
подруга;nomn;nomn
театр;nomn;nomn
оперу;accs;accs
друг;nomn;nomn
Хуанита;gent;gent
семья;nomn;nomn
город;nomn;nomn
юге;loct;loct
город;nomn;nomn
юге;loct;loct
оперу;accs;accs
опера;nomn;nomn
оперу;accs;accs
кафе;loct;loct
кафе;loct;loct
вечером;ablt;n/a
кафе;loct;loct
вечером;ablt;n/a
футболисты;nomn;nomn
чемпионате;loct;loct
мира;gent;gent
футболисты;nomn;nomn
чемпионате;loct;loct
мира;gent;gent
студент;nomn;nomn
Человек;nomn;nomn
университете;loct;loct
актриса;nomn;nomn
женщина;nomn;nomn
театре;loct;loct
кино;loct;gent
врачи;nomn;nomn
люди;nomn;nomn
поликлинике;accs;datv
больнице;loct;loct
дача;nomn;nomn
Дача;nomn;nomn
дом;nomn;nomn
городе;loct;loct
музей;nomn;nomn
метро;loct;loct
мире;loct;loct
Метро;loct;loct
транспорт;nomn;nomn
метро;loct;loct
люди;nomn;nomn
машине;loct;loct
пробки;nomn;nomn
пробки;nomn;nomn
Станция;nomn;nomn
Пробки;nomn;nomn
машины;nomn;gent
дороге;loct;datv
проблемы;nomn;nomn
метро;loct;loct
метро;loct;loct
Интернет;nomn;nomn
люди;nomn;nomn
метро;loct;loct
фильмы;nomn;nomn
сериалы;nomn;nomn
новости;nomn;nomn
книги;nomn;gent
журналы;nomn;nomn
метро;loct;loct
метро;loct;loct
музей;nomn;nomn
станции;gent;gent
станции;nomn;gent
метро;loct;loct
концерты;accs;accs
выставки;gent;gent
день;accs;accs
музыку;accs;accs
метро;loct;loct
Музыканты;nomn;nomn
метро;loct;loct
гитаре;loct;loct
балалайке;loct;datv
саксофоне;loct;loct
песни;gent;gent
арии;nomn;gent
русские;nomn;nomn
музыканты;nomn;nomn
онлайнрасписание;nomn;nomn
концерты;accs;accs
сайте;loct;loct
метро;loct;loct
информацию;accs;accs
сайте;loct;loct
Инстаграм;nomn;nomn
метро;loct;loct
музыку;accs;accs
метро;loct;loct
выставки;gent;gent
приложение;nomn;nomn
метро;loct;loct
рассказы;nomn;nomn
роман;nomn;nomn
Война;nomn;nomn
мир;nomn;nomn
рассказы;nomn;nomn
роман;nomn;nomn
Война;nomn;nomn
мир;nomn;nomn
рассказы;nomn;nomn
язык;accs;accs
рассказы;nomn;nomn
язык;accs;accs
уроке;loct;loct
стихи;accs;accs
стихи;accs;accs
уроке;loct;loct
воскресенье;nomn;nomn
язык;accs;accs
язык;accs;accs
мама;nomn;nomn
борщ;accs;accs
пельмени;accs;accs
студенты;nomn;nomn
задание;nomn;nomn
задание;nomn;nomn
кино;gent;gent
театр;nomn;nomn
сожалению;datv;datv
кино;gent;gent
театр;nomn;nomn
кино;gent;gent
театр;nomn;nomn
студент;nomn;nomn
кино;gent;gent
кино;accs;gent
кино;gent;gent
воскресенье;nomn;nomn
кино;accs;gent
фильмы;nomn;nomn
день;accs;accs
бассейн;accs;accs
спортзал;accs;nomn
вечером;ablt;n/a
театр;accs;nomn
день;accs;accs
дети;nomn;nomn
школу;accs;accs
гости;accs;nomn
выходные;accs;accs
гости;accs;nomn
четверг;accs;accs
друзья;nomn;nomn
баню;accs;accs
опера;nomn;nomn
театр;nomn;nomn
субботу;accs;accs
Привет;nomn;nomn
курьер;nomn;nomn
работа;nomn;nomn
день;accs;accs
метро;loct;loct
самокате;loct;loct
кафе;loct;loct
кофе;gent;gent
пончики;nomn;nomn
офисы;accs;nomn
Менеджеры;nomn;nomn
офисе;loct;loct
кофе;gent;gent
пончики;nomn;nomn
чай;accs;nomn
пирожки;accs;accs
друг;nomn;nomn
Слава;nomn;nomn
модельердизайнер;nomn;nomn
галерее;loct;loct
парке;datv;datv
город;nomn;nomn
проспект;nomn;nomn
